Date,Anomaly,Year
1984-01-01,0.33,1984
1984-02-01,0.31,1984
1984-03-01,0.3,1984
1984-04-01,0.29,1984
1984-05-01,0.28,1984
1984-06-01,0.27,1984
1984-07-01,0.26,1984
1984-08-01,0.25,1984
1984-09-01,0.24,1984
1984-10-01,0.23,1984
1984-11-01,0.21,1984
1984-12-01,0.19,1984
1985-01-01,0.19,1985
1985-02-01,0.18,1985
1985-03-01,0.17,1985
1985-04-01,0.17,1985
1985-05-01,0.16,1985
1985-06-01,0.16,1985
1985-07-01,0.15,1985
1985-08-01,0.15,1985
1985-09-01,0.14,1985
1985-10-01,0.14,1985
1985-11-01,0.14,1985
1985-12-01,0.16,1985
1986-01-01,0.16,1986
1986-02-01,0.19,1986
1986-03-01,0.19,1986
1986-04-01,0.2,1986
1986-05-01,0.21,1986
1986-06-01,0.21,1986
1986-07-01,0.22,1986
1986-08-01,0.22,1986
1986-09-01,0.22,1986
1986-10-01,0.22,1986
1986-11-01,0.22,1986
1986-12-01,0.23,1986
1987-01-01,0.23,1987
1987-02-01,0.23,1987
1987-03-01,0.22,1987
1987-04-01,0.22,1987
1987-05-01,0.22,1987
1987-06-01,0.24,1987
1987-07-01,0.27,1987
1987-08-01,0.28,1987
1987-09-01,0.3,1987
1987-10-01,0.31,1987
1987-11-01,0.32,1987
1987-12-01,0.34,1987
1988-01-01,0.36,1988
1988-02-01,0.37,1988
1988-03-01,0.39,1988
1988-04-01,0.41,1988
1988-05-01,0.42,1988
1988-06-01,0.43,1988
1988-07-01,0.42,1988
1988-08-01,0.42,1988
1988-09-01,0.42,1988
1988-10-01,0.43,1988
1988-11-01,0.42,1988
1988-12-01,0.4,1988
1989-01-01,0.37,1989
1989-02-01,0.35,1989
1989-03-01,0.34,1989
1989-04-01,0.32,1989
1989-05-01,0.3,1989
1989-06-01,0.29,1989
1989-07-01,0.28,1989
1989-08-01,0.27,1989
1989-09-01,0.27,1989
1989-10-01,0.27,1989
1989-11-01,0.27,1989
1989-12-01,0.28,1989
1990-01-01,0.31,1990
1990-02-01,0.31,1990
1990-03-01,0.35,1990
1990-04-01,0.37,1990
1990-05-01,0.4,1990
1990-06-01,0.41,1990
1990-07-01,0.42,1990
